id  answer
1	「上」と「特上」の差
2	10年に一人の逸材
3	300グラムのステーキ
4	500円玉
5	50代でのリストラ
6	80年代ディスコミュージック
7	アイデアグッズ
8	荒くれ者
9	アコーディオン
10	足つぼマッサージ
11	汗ばんだワイシャツ
12	熱々のおでん
13	穴
14	あふれる肉汁
15	アボカド
16	甘口カレー
17	甘栗
18	網棚の上の忘れ物
19	荒縄
20	アリゲーター
21	アロハシャツ
22	アンチエイジング化粧品
23	あんドーナツ2個
24	意外なオチ
25	生きた化石
26	生きて腸まで届く乳酸菌
27	育毛剤
28	イソギンチャク
29	一夫多妻制
30	田舎暮らし
31	芋ようかん
32	飲酒検閲
33	ウーロン茶
34	ウグイス嬢
35	打ち上げ花火
36	美しい叔母
37	生まれたばかりの子犬
38	産みたての卵
39	海辺のテラス
40	梅干しの種飛ばし大会
41	裏社会の掟
42	熟れきったバナナ
43	浮気がばれたときの言い訳
44	運命の選択
45	エアロビクス
46	エジプト秘宝展
47	愛媛
48	恵方巻
49	エレキギター
50	遠近両用めがね
51	エンジードリンク
52	延滞中のレンタルビデオ
53	オアシス
54	大きな進歩
55	大盛りナポリタン
56	お好み焼き
57	押しつけられた仕事
58	お嬢様学校
59	汚職にまみれた市長
60	おしるこ
61	お歳暮でもらった缶ビール
62	夫・妻の実家
63	お年玉
64	驚きの新食感
65	おなか一杯
66	同じ釜の飯を食った仲間
67	おにぎり
68	おひとりさま
69	おもてなし
70	オリーブオイル
71	オンラインゲーム
72	会長兼CEO
73	香り付きトイレットペーパー
74	カキフライ
75	課金
76	隠しカメラ
77	隠れ家
78	果汁100％ジュース
79	過剰なグルメリポート
80	ガソリン満タン
81	家庭教師
82	華道の家元
83	カニみそ
84	過熱する報道合戦
85	カフェ飯
86	仮面夫婦
87	カラーコンタクト
88	カラオケマイク
89	ガラケー
90	空手チョップ
91	カリスマブロガーの影響力
92	枯山水
93	観測史上もっとも強い台風
94	頑張ったでしょう
95	偽造パスポート
96	規則正しい生活
97	機密資料
98	気持ちのいい朝
99	キャラ弁
100	キャンプ場の管理人
101 吸引力の落ちない掃除機
102 牛丼店のサービス券
103 京都のガイドマップ
104 強烈なにおいの漢方薬
105 巨匠
106 義理の兄
107 際どい水着
108 金塊
109 近海マグロ
110 金属バッド
111 金メダル
112 吟遊詩人
113 朽ち果てた死体
114 グミキャンデー
115 クレーマーからの電話
116 クレジットカード
117 グローバリズム
118 警官隊との衝突
119 芸能リポーター
120 決意表明
121 拳銃
122 幻想
123 高級羽毛布団
124 高級ブランド肉
125 交代要員
126 高容量バッテリー
127 ゴーヤチャンプルー
128 氷漬けマンモス
129 コギャル
130 国税庁
131 国内最大級
132 こけし
133	ココナツミルク
134	ここにいる人たち
135	ここにいる人の個人情報
136	コスプレ衣装
137	小銭
138	小玉スイカ
139	ことわざ辞典
140	こぼれウニ
141	細やかな気配り
142	ゴルフボール
143	コロンブスの卵的アイデア
144	婚活パーティー
145	混浴露天風呂
146	最初のデートでキス
147	最新ヒット曲
148	詐欺集団
149	雑なドッキリ
150	里芋
151	サボテン
152	シークワーサー
153	時間にルーズな友人
154	自虐ネタ
155	時給アップ
156	自己啓発本
157	自作のラブソング
158	歯周病
159	四川風麻婆豆腐
160	時代遅れ
161	下請け業者
162	しつこい新聞の勧誘
163	実話を基にした映画
164	老舗の明太子
165	湿った土の匂い
